deal_id,cik,company_name,sic,first_filed,last_filed,filings,n_filings,outcome
1,0000002488,ADVANCED MICRO DEVICES INC,3674,2020-10-27,2021-06-30,"425,425,S-4,425,S-4/A,S-4/A,S-4/A,425,425",9,likely_not_completed
2,0000002601,AEROFLEX INC,3674,2003-07-31,2003-08-19,"S-4,S-4/A",2,likely_not_completed
3,0000002601,AEROFLEX INC,3674,2008-12-11,2009-01-16,"S-4,S-4/A",2,likely_not_completed
4,0000003721,ALLEN TELECOM INC,3663,2003-02-18,2003-07-11,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",39,likely_completed
5,0000006281,ANALOG DEVICES INC,3674,2020-07-13,2020-09-30,"425,425,425,425,425,425,425,425,425,425,425,425,S-4,425,425,425,S-4/A,425,425,425",20,likely_not_completed
6,0000006281,ANALOG DEVICES INC,3674,2023-08-02,2023-08-02,S-4,1,likely_not_completed
7,0000006292,ANALYSTS INTERNATIONAL CORP,7371,2005-04-13,2005-08-17,"425,425,425,425,425,425",6,likely_not_completed
8,0000006951,APPLIED MATERIALS INC /DE,3674,2013-09-24,2014-05-14,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",21,likely_not_completed
9,0000016357,AB LIQUIDATING CORP,3663,1995-02-03,1995-05-01,"S-4,S-4/A,S-4/A,S-4/A,S-4/A",5,likely_not_completed
10,0000016357,AB LIQUIDATING CORP,3663,2000-11-13,2001-01-11,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",27,likely_not_completed
11,0000022698,COMSAT CORP,4899,1994-05-03,1994-05-03,S-4,1,likely_not_completed
12,0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,3663,2020-01-29,2020-09-29,"425,425,425,425,425,S-4,425,425,S-4/A,425,425,425,425,425,425,425,425",17,likely_not_completed
13,0000026990,DATA DIMENSIONS INC,7371,2001-03-08,2001-03-13,"425,425,425,425,425,425",6,likely_completed
14,0000027116,DATRON SYSTEMS INC/DE,3663,2001-06-25,2001-08-06,"425,425,425,425,425,425,425,425",8,likely_completed
15,0000040656,GENERAL SEMICONDUCTOR INC,3663,1995-09-06,1995-09-25,"S-4,S-4/A,S-4/A",3,likely_not_completed
16,0000040656,GENERAL SEMICONDUCTOR INC,3663,2001-04-03,2001-08-08,"425,425,425,425",4,likely_completed
17,0000045635,HARMON INDUSTRIES INC,3669,2000-07-17,2000-09-01,"425,425,425,425,425,425,425,425",8,likely_completed
18,0000049615,ID SYSTEMS INC,3669,2019-03-13,2019-08-29,"425,425,425,425,425,425,425,425,425,425,425",11,likely_completed
19,0000061478,ADC TELECOMMUNICATIONS INC,3661,1996-02-06,1996-02-23,"S-4,S-4/A,S-4/A",3,likely_not_completed
20,0000061478,ADC TELECOMMUNICATIONS INC,3661,2000-02-24,2000-09-20,"425,425,S-4,425,S-4/A,425",6,likely_not_completed
21,0000061478,ADC TELECOMMUNICATIONS INC,3661,2006-05-31,2006-08-02,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,S-4,425,425,425,425,425,425",22,likely_not_completed
22,0000065743,MICRODYNE CORP,3576,2002-09-18,2005-11-23,"S-4,S-4,S-4,S-4,S-4",5,likely_not_completed
23,0000065743,MICRODYNE CORP,3576,2010-03-26,2010-03-26,S-4,1,likely_not_completed
24,0000065745,AMATI COMMUNICATIONS CORP,3576,1995-08-23,1995-10-16,"S-4,S-4/A,S-4/A,S-4/A",4,likely_not_completed
25,0000316004,ALCATEL USA INC,3661,1997-11-05,1997-11-05,S-4,1,likely_completed
26,0000318378,BANCTEC INC,3577,1995-06-20,1995-09-01,"S-4,S-4/A,S-4/A,S-4/A",4,likely_not_completed
27,0000318378,BANCTEC INC,3577,1998-06-10,1998-08-28,"S-4,S-4/A",2,likely_not_completed
28,0000319237,CERPLEX GROUP INC/DE,7370,1998-03-26,1998-03-26,S-4,1,likely_not_completed
29,0000350621,C-COR INC,3663,2007-09-25,2007-11-15,"425,425,425,425,425,425",6,likely_completed
30,0000350868,"ITERIS, INC.",3669,2021-03-01,2021-03-01,425,1,likely_not_completed
31,0000701319,COMPUTER NETWORK TECHNOLOGY CORP,3576,2005-01-18,2005-05-25,"425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425",43,likely_completed
